"","logFC","logCPM","PValue","FDR"
"CHIA|27159",-8.07821739913088,3.11287975039189,0,0
"GHRH|2691",7.56963677681946,2.10998378082167,0,0
"PGA3|643834",-7.32962302421643,9.82025382406993,0,0
"PGA4|643847",-6.95752558748685,9.86741325832958,0,0
"CRP|1401",-6.87543931710668,3.5675414975704,0,0
"CYP1A1|1543",-6.6175057243695,2.80699833433207,0,0
"FAM9C|171484",6.3592852159424,-1.12199618265958,0,0
"TMEFF2|23671",6.15945264770813,1.32262019091593,0,0
"DEFA5|1670",5.8125380625602,2.41998232517868,0,0
"UGT2B10|7365",5.64349899663897,-1.84861558490586,0,0
"SCG3|29106",5.60454049696333,1.4780447948132,0,0
"CLCA1|1179",5.52922765355196,2.41686094462812,0,0
"ASCL1|429",5.37570065787367,2.45097210815371,0,0
"LIPF|8513",-5.32490278537192,9.36841281578956,0,0
"ITLN1|55600",5.10940106701409,5.27964247647347,0,0
"PCDH15|65217",4.91106810262429,1.09993614522241,0,0
"SEZ6|124925",4.78483054536352,0.389489600921664,0,0
"CELF3|11189",4.59181997442816,0.85728964803759,0,0
"SCGN|10590",4.53364105554748,0.925654051162677,0,0
"DEFA6|1671",4.50592138285789,1.36927519234359,0,0
"PNMA5|114824",4.43303379554125,1.80071801034114,0,0
"CPA2|1358",4.05434748274491,1.85190956034635,0,0
"TAC3|6866",4.04288574734121,0.294905511659851,0,0
"LY6H|4062",3.90953018896143,0.698421357763725,0,0
"KCNH6|81033",3.89988031612276,0.25240184591134,0,0
"SCG2|7857",3.82114153353466,3.24306351311445,0,0
"CASR|846",3.78719339833478,-0.151039478610382,0,0
"PCSK1N|27344",3.77682543307422,5.00131456885737,0,0
"SST|6750",3.67609156844195,3.01996293977661,0,0
"CHGB|1114",3.65384312890909,2.41376904020233,0,0
"PGA5|5222",-5.08657192409439,5.66686450826144,1.5274533506828e-319,8.85036046155173e-317
"INSM1|3642",3.50775354125419,3.23664963522937,1.94015527783562e-317,1.08903340945186e-314
"ACSM2A|123876",4.56538578285395,-1.98211820355599,1.41284593516579e-308,7.69016323862058e-306
"VCX|26609",3.52335358365014,0.286821039700346,2.31381341059441e-306,1.22237401414991e-303
"CDH10|1008",4.10094044343339,-1.34715574677482,1.75212885776287e-303,8.99192529803904e-301
"FGF3|2248",-5.06481043387852,2.52651745813532,2.44156223614496e-300,1.21820391348988e-297
"KCNK16|83795",5.54068070684602,-2.65321764144925,2.49712740515458e-294,1.21225412030775e-291
"TTR|7276",3.35089748444181,3.07650163823377,2.76293998585082e-294,1.30599810594349e-291
"OLFM3|118427",3.80430851468564,-0.895396946828694,4.85151888882143e-291,2.23443544310284e-288
"LOC646627|646627",3.35194711260414,0.429449205689175,5.99776597491976e-276,2.69329681103772e-273
"SPANXA2|728712",-4.96114329670599,2.09619861126776,1.20749713367207e-275,5.29001549146774e-273
"RFX6|222546",3.29265618724972,0.68239930833758,1.79123141758594e-267,7.66049969587587e-265
"SFTPB|6439",3.3848510421311,-0.205700545328958,2.05390100424196e-266,8.57957438097539e-264
"NEUROD1|4760",3.46075663347369,-0.161938143436616,1.56872590095264e-263,6.40396696202529e-261
"FAM123C|205147",3.52267091410112,-0.928256894855576,2.45030748738289e-263,9.78053846408253e-261
"SYT4|6860",3.843397555941,-1.44627674072601,4.6415000981293e-262,1.81240488614344e-259
"CA1|759",3.20194741242951,1.27083904693677,4.13766271900262e-261,1.581291441675e-258
"TSPY2|64591",4.12088566871985,-2.06841231865699,1.89938034867381e-259,7.10763954643312e-257
"NOL4|8715",3.59527725018554,-1.15915042254471,1.73916303696371e-257,6.37527478978412e-255
"CALCA|796",3.20059171760083,1.27718880605986,5.17570696976082e-255,1.85932097181688e-252
"GCG|2641",4.18630249695421,-1.91367056707824,2.85326550279139e-251,1.00490892080664e-248
"KLHL1|57626",4.57637524370746,-2.46880219724593,1.91932304454568e-248,6.62978471656335e-246
"DHRS2|10202",-4.23790539632604,5.42567252782001,8.59772351887002e-246,2.91381716690459e-243
"CES7|221223",3.62721215674507,-1.31195030533249,1.47503510375105e-241,4.90640380251413e-239
"ESX1|80712",4.36564814921317,-2.48765112307695,6.32747788331376e-240,2.06643923163785e-237
"AQP12B|653437",3.23658644813491,-0.403474201718337,2.27661577867208e-237,7.2767810051731e-235
"FEV|54738",3.34068083496057,-0.266629182499047,2.3091889393991e-237,7.2767810051731e-235
"CYMP|643160",3.49764582303564,-1.29366118147541,4.97241968751179e-236,1.53990693839805e-233
"RHAG|6005",4.35365962990853,-2.53097882293877,1.13145588693945e-234,3.44461197308584e-232
"NPSR1|387129",3.04897363419996,1.08421420893146,3.01240888699623e-234,9.01814807137103e-232
"RNASE2|6036",3.03234056984716,0.795430888856216,2.03046472557289e-230,5.97888645913774e-228
"UCN3|114131",3.32216453549408,-1.00493802922768,2.5620650206934e-230,7.42255030672498e-228
"NR5A1|2516",-4.55195838202885,0.676466073975052,1.25292332701755e-228,3.57222361903004e-226
"ASB4|51666",2.99090704008934,1.05741325918305,3.84562133667302e-228,1.07929766327064e-225
"PASD1|139135",-5.28148458740819,-0.212538378478651,7.77239588957781e-226,2.14781192259379e-223
"PLCXD3|345557",2.97818144800367,1.40001341974582,8.19128677533315e-225,2.22927110694749e-222
"LRRTM1|347730",-4.93627345828962,0.189398761431594,1.5059832635157e-221,4.0373837879506e-219
"ADAMTS18|170692",-3.97558547129621,2.64141793229975,5.307083533652e-221,1.40185050634496e-218
"DCAF4L2|138009",-4.47472304505952,0.730265922187914,1.30751870006424e-220,3.40371752037012e-218
"SPANXE|171489",-4.18328311336185,1.65828258317387,5.02196204027366e-220,1.28863545953422e-217
"ITIH2|3698",-3.89382832694458,2.36069649890216,8.5081184980676e-218,2.1524341473562e-215
"CYP2B7P1|1556",2.87334523208507,2.25073224412958,8.43791088748832e-216,2.10502438001479e-213
"TCHHL1|126637",-3.93210631945211,1.97007153408064,2.24375355951775e-211,5.52086321041889e-209
"GSTA2|2939",2.91005065024992,-0.00086824896109746,5.08882781818067e-207,1.23520980094812e-204
"ATP4A|495",-3.78667301188499,2.85887388353353,2.64629147403935e-205,6.33769166089265e-203
"SLC18A1|6570",2.92460070478589,-0.125655431356672,7.65501451628941e-204,1.80920224659987e-201
"TPH1|7166",2.77525190780021,1.61946342338478,6.93724247082257e-200,1.61826947092098e-197
"ADCY8|114",-4.3877173240328,0.163951274839977,7.30255887564844e-197,1.68164823749227e-194
